"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 08:33:35 GMT 2024","Fri Jun 07 08:33:35 GMT 2024","302","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 07 08:33:51 GMT 2024","Fri Jun 07 08:33:52 GMT 2024","685","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 07 08:33:34 GMT 2024","Fri Jun 07 08:33:34 GMT 2024","781","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 07 08:33:34 GMT 2024","Fri Jun 07 08:33:35 GMT 2024","325","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 07 08:33:34 GMT 2024","Fri Jun 07 08:33:34 GMT 2024","14","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 07 08:33:44 GMT 2024","Fri Jun 07 08:33:45 GMT 2024","864","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 07 08:33:35 GMT 2024","Fri Jun 07 08:33:35 GMT 2024","368","tests.api","test_api_sign_up","","","","test_successful_sign_up",""
"passed","Fri Jun 07 08:33:46 GMT 2024","Fri Jun 07 08:33:49 GMT 2024","2632","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 07 08:33:52 GMT 2024","Fri Jun 07 08:33:53 GMT 2024","684","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 07 08:33:50 GMT 2024","Fri Jun 07 08:33:50 GMT 2024","42","tests","test_home","","","","test_successful_login",""
