"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 20:09:01 GMT 2024","Wed Jun 05 20:09:01 GMT 2024","801","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Wed Jun 05 20:09:11 GMT 2024","Wed Jun 05 20:09:11 GMT 2024","684","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 05 20:09:12 GMT 2024","Wed Jun 05 20:09:13 GMT 2024","680","tests","test_login","","","","test_failed_login",""
"passed","Wed Jun 05 20:09:04 GMT 2024","Wed Jun 05 20:09:05 GMT 2024","669","tests","test_edit","","","","test_autocomplete",""
"passed","Wed Jun 05 20:09:10 GMT 2024","Wed Jun 05 20:09:10 GMT 2024","46","tests","test_home","","","","test_successful_login",""
"passed","Wed Jun 05 20:09:06 GMT 2024","Wed Jun 05 20:09:09 GMT 2024","2495","tests","test_edit","","","","test_edit",""
"passed","Wed Jun 05 20:09:01 GMT 2024","Wed Jun 05 20:09:01 GMT 2024","17","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Wed Jun 05 20:09:01 GMT 2024","Wed Jun 05 20:09:02 GMT 2024","314","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Wed Jun 05 20:09:02 GMT 2024","Wed Jun 05 20:09:02 GMT 2024","302","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
