"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 19:42:20 GMT 2024","Fri Jun 07 19:42:23 GMT 2024","2778","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 07 19:41:59 GMT 2024","Fri Jun 07 19:41:59 GMT 2024","360","tests.api","test_api_sign_up","","","","test_successful_sign_up",""
"passed","Fri Jun 07 19:42:27 GMT 2024","Fri Jun 07 19:42:29 GMT 2024","2141","tests","test_register","","","","test_successful_register",""
"passed","Fri Jun 07 19:41:58 GMT 2024","Fri Jun 07 19:41:58 GMT 2024","17","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 07 19:41:59 GMT 2024","Fri Jun 07 19:41:59 GMT 2024","309","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 07 19:41:58 GMT 2024","Fri Jun 07 19:41:59 GMT 2024","331","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 07 19:42:26 GMT 2024","Fri Jun 07 19:42:27 GMT 2024","683","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 07 19:41:58 GMT 2024","Fri Jun 07 19:41:58 GMT 2024","787","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 07 19:42:24 GMT 2024","Fri Jun 07 19:42:24 GMT 2024","50","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 07 19:42:25 GMT 2024","Fri Jun 07 19:42:25 GMT 2024","683","tests","test_login","","","","test_successful_login",""
"broken","Fri Jun 07 19:42:31 GMT 2024","Fri Jun 07 19:42:42 GMT 2024","11374","tests","test_send_email","","","","test_sending_mail",""
"passed","Fri Jun 07 19:42:18 GMT 2024","Fri Jun 07 19:42:19 GMT 2024","1109","tests","test_edit","","","","test_autocomplete",""
