"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 19:45:32 GMT 2024","Wed Jun 05 19:45:33 GMT 2024","677","tests","test_edit","","","","test_autocomplete",""
"passed","Wed Jun 05 19:45:34 GMT 2024","Wed Jun 05 19:45:36 GMT 2024","2486","tests","test_edit","","","","test_edit",""
"passed","Wed Jun 05 19:45:29 GMT 2024","Wed Jun 05 19:45:29 GMT 2024","22","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Wed Jun 05 19:45:29 GMT 2024","Wed Jun 05 19:45:29 GMT 2024","736","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Wed Jun 05 19:45:38 GMT 2024","Wed Jun 05 19:45:38 GMT 2024","41","tests","test_home","","","","test_successful_login",""
"passed","Wed Jun 05 19:45:40 GMT 2024","Wed Jun 05 19:45:40 GMT 2024","683","tests","test_login","","","","test_failed_login",""
"passed","Wed Jun 05 19:45:38 GMT 2024","Wed Jun 05 19:45:39 GMT 2024","688","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 05 19:45:29 GMT 2024","Wed Jun 05 19:45:30 GMT 2024","317","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
