"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 21:38:15 GMT 2024","Wed Jun 05 21:38:15 GMT 2024","314","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Wed Jun 05 21:38:15 GMT 2024","Wed Jun 05 21:38:15 GMT 2024","306","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Wed Jun 05 21:38:14 GMT 2024","Wed Jun 05 21:38:15 GMT 2024","768","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Wed Jun 05 21:38:24 GMT 2024","Wed Jun 05 21:38:25 GMT 2024","692","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 05 21:38:25 GMT 2024","Wed Jun 05 21:38:26 GMT 2024","696","tests","test_login","","","","test_failed_login",""
"passed","Wed Jun 05 21:38:15 GMT 2024","Wed Jun 05 21:38:15 GMT 2024","17","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Wed Jun 05 21:38:17 GMT 2024","Wed Jun 05 21:38:18 GMT 2024","673","tests","test_edit","","","","test_autocomplete",""
"passed","Wed Jun 05 21:38:23 GMT 2024","Wed Jun 05 21:38:23 GMT 2024","44","tests","test_home","","","","test_successful_login",""
"passed","Wed Jun 05 21:38:19 GMT 2024","Wed Jun 05 21:38:22 GMT 2024","2519","tests","test_edit","","","","test_edit",""
