"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 19:46:46 GMT 2024","Fri Jun 07 19:46:48 GMT 2024","2162","tests","test_register","","","","test_successful_register",""
"passed","Fri Jun 07 19:46:37 GMT 2024","Fri Jun 07 19:46:37 GMT 2024","692","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 07 19:46:34 GMT 2024","Fri Jun 07 19:46:34 GMT 2024","305","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 07 19:46:44 GMT 2024","Fri Jun 07 19:46:45 GMT 2024","682","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 07 19:46:39 GMT 2024","Fri Jun 07 19:46:41 GMT 2024","2544","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 07 19:46:34 GMT 2024","Fri Jun 07 19:46:35 GMT 2024","347","tests.api","test_api_sign_up","","","","test_successful_sign_up",""
"passed","Fri Jun 07 19:46:43 GMT 2024","Fri Jun 07 19:46:44 GMT 2024","682","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 07 19:46:33 GMT 2024","Fri Jun 07 19:46:34 GMT 2024","791","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 07 19:46:42 GMT 2024","Fri Jun 07 19:46:42 GMT 2024","42","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 07 19:46:34 GMT 2024","Fri Jun 07 19:46:34 GMT 2024","322","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 07 19:46:49 GMT 2024","Fri Jun 07 19:47:00 GMT 2024","11314","tests","test_send_email","","","","test_sending_mail",""
"passed","Fri Jun 07 19:46:34 GMT 2024","Fri Jun 07 19:46:34 GMT 2024","21","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
