"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 10:48:31 GMT 2024","Fri Jun 07 10:48:32 GMT 2024","303","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 07 10:48:36 GMT 2024","Fri Jun 07 10:48:39 GMT 2024","2541","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 07 10:48:40 GMT 2024","Fri Jun 07 10:48:40 GMT 2024","45","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 07 10:48:32 GMT 2024","Fri Jun 07 10:48:32 GMT 2024","365","tests.api","test_api_sign_up","","","","test_successful_sign_up",""
"passed","Fri Jun 07 10:48:31 GMT 2024","Fri Jun 07 10:48:31 GMT 2024","22","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 07 10:48:30 GMT 2024","Fri Jun 07 10:48:31 GMT 2024","793","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 07 10:48:31 GMT 2024","Fri Jun 07 10:48:31 GMT 2024","317","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 07 10:48:42 GMT 2024","Fri Jun 07 10:48:42 GMT 2024","686","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 07 10:48:34 GMT 2024","Fri Jun 07 10:48:35 GMT 2024","689","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 07 10:48:40 GMT 2024","Fri Jun 07 10:48:41 GMT 2024","691","tests","test_login","","","","test_successful_login",""
