"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 22:42:31 GMT 2024","Mon Jun 10 22:42:32 GMT 2024","305","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Mon Jun 10 22:42:36 GMT 2024","Mon Jun 10 22:42:39 GMT 2024","2519","tests","test_edit","","","","test_edit",""
"passed","Mon Jun 10 22:42:47 GMT 2024","Mon Jun 10 22:42:58 GMT 2024","11335","tests","test_send_email","","","","test_sending_mail",""
"failed","Mon Jun 10 22:42:30 GMT 2024","Mon Jun 10 22:42:30 GMT 2024","6","tests.api","test_api_get_user","","","","test_get_user_invalid_token",""
"failed","Mon Jun 10 22:42:29 GMT 2024","Mon Jun 10 22:42:29 GMT 2024","18","tests.api","test_api_edit_user","","","","test_edit_user_invalid_token",""
"failed","Mon Jun 10 22:42:29 GMT 2024","Mon Jun 10 22:42:29 GMT 2024","34","tests.api","test_api_edit_user","","","","test_edit_user_invalid_username",""
"passed","Mon Jun 10 22:42:30 GMT 2024","Mon Jun 10 22:42:30 GMT 2024","13","tests.api","test_api_get_user","","","","test_get_user_success",""
"passed","Mon Jun 10 22:42:43 GMT 2024","Mon Jun 10 22:42:46 GMT 2024","2138","tests","test_register","","","","test_successful_register",""
"passed","Mon Jun 10 22:42:40 GMT 2024","Mon Jun 10 22:42:40 GMT 2024","43","tests","test_home","","","","test_successful_login",""
"failed","Mon Jun 10 22:42:30 GMT 2024","Mon Jun 10 22:42:30 GMT 2024","8","tests.api","test_api_get_me","","","","test_get_me_invalid_token",""
"passed","Mon Jun 10 22:42:31 GMT 2024","Mon Jun 10 22:42:31 GMT 2024","14","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Mon Jun 10 22:42:32 GMT 2024","Mon Jun 10 22:42:32 GMT 2024","301","tests.api","test_api_sign_up","","","","test_successful_sign_up",""
"passed","Mon Jun 10 22:42:34 GMT 2024","Mon Jun 10 22:42:35 GMT 2024","733","tests","test_edit","","","","test_autocomplete",""
"passed","Mon Jun 10 22:42:42 GMT 2024","Mon Jun 10 22:42:43 GMT 2024","684","tests","test_login","","","","test_failed_login",""
"passed","Mon Jun 10 22:42:30 GMT 2024","Mon Jun 10 22:42:30 GMT 2024","23","tests.api","test_api_get_me","","","","test_get_me_success",""
"passed","Mon Jun 10 22:42:31 GMT 2024","Mon Jun 10 22:42:31 GMT 2024","20","tests.api","test_api_get_users","","","","test_get_all_users_success",""
"failed","Mon Jun 10 22:42:30 GMT 2024","Mon Jun 10 22:42:30 GMT 2024","10","tests.api","test_api_get_user","","","","test_get_user_invalid_username",""
"passed","Mon Jun 10 22:42:31 GMT 2024","Mon Jun 10 22:42:31 GMT 2024","302","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Mon Jun 10 22:42:32 GMT 2024","Mon Jun 10 22:42:32 GMT 2024","298","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Mon Jun 10 22:42:29 GMT 2024","Mon Jun 10 22:42:29 GMT 2024","85","tests.api","test_api_edit_user","","","","test_edit_user_success",""
"passed","Mon Jun 10 22:42:41 GMT 2024","Mon Jun 10 22:42:42 GMT 2024","681","tests","test_login","","","","test_successful_login",""
"failed","Mon Jun 10 22:42:31 GMT 2024","Mon Jun 10 22:42:31 GMT 2024","8","tests.api","test_api_get_users","","","","test_get_all_users_invalid_token",""
