"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 19:25:58 GMT 2024","Fri Jun 07 19:25:59 GMT 2024","683","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 07 19:25:47 GMT 2024","Fri Jun 07 19:25:48 GMT 2024","316","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 07 19:25:46 GMT 2024","Fri Jun 07 19:25:47 GMT 2024","786","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 07 19:26:00 GMT 2024","Fri Jun 07 19:26:02 GMT 2024","2146","tests","test_register","","","","test_successful_register",""
"broken","Fri Jun 07 19:26:03 GMT 2024","Fri Jun 07 19:26:09 GMT 2024","6315","tests","test_send_email","","","","test_sending_mail",""
"passed","Fri Jun 07 19:25:52 GMT 2024","Fri Jun 07 19:25:55 GMT 2024","2508","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 07 19:25:48 GMT 2024","Fri Jun 07 19:25:48 GMT 2024","372","tests.api","test_api_sign_up","","","","test_successful_sign_up",""
"passed","Fri Jun 07 19:25:47 GMT 2024","Fri Jun 07 19:25:47 GMT 2024","20","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 07 19:25:48 GMT 2024","Fri Jun 07 19:25:48 GMT 2024","310","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 07 19:25:56 GMT 2024","Fri Jun 07 19:25:56 GMT 2024","43","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 07 19:25:50 GMT 2024","Fri Jun 07 19:25:51 GMT 2024","673","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 07 19:25:57 GMT 2024","Fri Jun 07 19:25:58 GMT 2024","681","tests","test_login","","","","test_successful_login",""
